country,age,name_0,name_1,name_2,name_3,name_4, ARM SPAN , HEIGHT , HOBBY , FAVOURITE MOVIE , FAVOURITE GAME , FAVOURITE SONG , SPORTING HERO 
 JPN ,25,Yoshiyuki,OGATA,,,, 181 , 172 , Drinking ,,,,
 FRA ,19,Mejdi,SCHALCK,,,,, 172 ,,,,,
 GER ,23,Yannick,FLOHÉ,,,,, 178 ,,,,,
 JPN ,26,Tomoa,NARASAKI,,,,, 170 ,,,,,
 KOR ,20,Dohyun,LEE,,,,, 174 ,,,,,
 KOR ,27,Jongwon,CHON,,,,, 177 ,,,,,
 JPN ,30,Kokoro,FUJII,,,,, 176 ,,,,,
 GBR ,22,Maximillian,MILNE,,,,, 166 ,,,,,
 AUT ,32,Jakob,SCHUBERT,,,,, 176 ,,,,,
 JPN ,19,Rei,KAWAMATA,,,,, 172 ,,,,,
 AUT ,22,Nicolai,UZNIK,,,,, 173 ,,,,,
 SLO ,25,Anze,PEHARC,,,, 180 , 177 , Mountain biking , 1997 , Hearthstone , Don Diablo - Congratulations ,
 USA ,19,Colin,DUFFY,,,,, 170 ,,,,,
 FRA ,19,Paul,JENFT,,,, 194 , 186 ,,,,,
 USA ,26,Sean,BAILEY,,,,, 163 ,,,,,
 FRA ,22,Sam,AVEZOU,,,,, 170 ,,,,,
 BEL ,18,Hannes,VAN,DUYSEN,,,, 175 ,,,,,
 GBR ,21,Hamish,MCARTHUR,,,,, 181 ,,,,,
 JPN ,27,Yuji,INOUE,,,,,,,,,,
 JPN ,23,Meichi,NARASAKI,,,,, 188 ,,,,,
 USA ,22,Ross,FULKERSON,,,,, 183 ,,,,,
 JPN ,28,Tomoaki,TAKATA,,,,, 175 ,,,,,
 FRA ,27,Mathieu,TERNANT,,,,,,,,,,
 FRA ,32,Mickael,MAWEM,,,,, 179 ,,,,,
 GER ,29,Alexander,MEGOS,,,,, 175 ,,,,,
 ESP ,20,Alberto,GINÉS,LÓPEZ,,,, 178 ,,,,,
 GER ,24,Max,KLEESATTEL,,,, 180 , 173 ,,,,,
 BEL ,26,Simon,LORENZI,,,, 180 , 168 ,,,,,
 FRA ,29,Manuel,CORNU,,,,, 177 ,,,,,
 AUT ,25,Jan-luca,POSCH,,,,,,,,,,
 JPN ,22,Keita,DOHI,,,,,,,,,,
 JPN ,16,Sorato,ANRAKU,,,,, 165 ,,,,,
 ISR ,28,Alex,KHAZANOV,,,,,,,,,,
 LAT ,19,Edvards,GRUZITIS,,,, 189 , 181 ,,,,,
 SLO ,25,Zan,LOVENJAK,SUDAR,,,, 179 ,,,,,
 GBR ,18,Toby,ROBERTS,,,,, 177 ,,,,,
 JPN ,20,Kento,YAMAGUCHI,,,,,,,,,,
 USA ,23,Zach,GALLA,,,,, 168 ,,,,,
 JPN ,17,Ritsu,KAYOTANI,,,,,,,,,,
 ISR ,23,Nimrod,MARCUS,,,,, 166 ,,,,,
 GBR ,28,Nathan,PHILLIPS,,,,,,,,,,
 JPN ,18,Satone,YOSHIDA,,,,, 168 ,,,,,
 FRA ,23,Leo,AVEZOU,,,,,,,,,,
 CAN ,20,Guy,MCNAMEE,,,,, 177 ,,,,,
 BEL ,25,Nicolas,COLLIN,,,,, 179 ,,,,,
 SLO ,32,Jernej,KRUDER,,,, 184 , 179 ,,,,,
 SUI ,25,Sascha,LEHMANN,,,,, 164 ,,,,,
 JPN ,19,Daiki,SANO,,,,,,,,,,
 SLO ,27,Gregor,VEZONIK,,,,, 176 ,,,,,
 GER ,21,Christoph,SCHWEIGER,,,,, 187 ,,,,,
 USA ,24,Simon,HIBBELER,,,,,,,,,,
 GBR ,24,James,POPE,,,,, 167 ,,,,,
 CZE ,30,Adam,ONDRA,,,,, 186 ,,,,,
 ITA ,27,Michael,PICCOLRUAZ,,,,, 178 ,,,,,
 KOR ,24,Sungsu,LEE,,,,, 170 ,,,,,
 BUL ,17,Nikolay,RUSEV,,,,, 172 ,,,,,
 JPN ,22,Katsura,KONISHI,,,,,,,,,,
 USA ,25,Charles,BARRON,,,,,,,,,,
 GER ,28,Philipp,MARTIN,,,,, 173 ,,,,,
 AUT ,21,Stefan,SCHERZ,,,,, 179 ,,,,,
 ITA ,23,Filip,SCHENK,,,,, 170 ,,,,,
 USA ,24,Benjamin,HANNA,,,,,,,,,,
 GBR ,26,Alex,WATERHOUSE,,,,,,,,,,
 ISR ,21,Yotam,BEN,REUVEN,,,,,,,,,
 USA ,19,Ellis,ERNSBERGER,,,,, 170 ,,,,,
 SLO ,21,Luka,POTOCAR,,,,, 177 ,,,,,
 USA ,26,Jesse,GRUPPER,,,,, 180 ,,,,,
 CAN ,18,Oscar,BAUDRAND,,,,, 170 ,,,,,
 HKG ,27,Cheung-chi,Shoji,CHAN,,,, 172 ,,,,,
 SUI ,21,Nino,GRÜNENFELDER,,,,, 172 ,,,,,
 CAN ,20,Victor,BAUDRAND,,,,, 175 ,,,,,
 SWE ,25,Hannes,PUMAN,,,,, 177 ,,,,,
 CHN ,22,Yufei,PAN,,,,, 173 ,,,,,
 GBR ,26,William,RIDAL,,,,,,,,,,
 BUL ,17,Slav,KIROV,,,,,,,,,,
 GER ,22,Elias,ARRIAGADA,KRÜGER,,,, 169 ,,,,,
 CHN ,22,Hualong,SONG,,,,,,,,,,
 ESP ,21,Eneko,CARRETERO,CRUZ,,,,,,,,,
 SLO ,24,Matic,KOTAR,,,, 188 , 171 ,,,,,
 ISR ,24,Ram,LEVIN,,,, 184 , 171 , Ping Pong ,,, Till I Collapse ,
 JPN ,23,Taisei,HOMMA,,,,, 177 ,,,,,
 RSA ,22,Christopher,COSSER,,,,, 178 ,,,,,
 SUI ,31,Nils,FAVRE,,,, 187 , 176 ," Golf, Brushing boulders ",," Poker, Chess ",,
 SUI ,21,Julien,CLÉMENCE,,,,,,,,,,
 USA ,16,Hugo,HOYER,,,,, 181 ,,,,,
 NED ,23,Don,VAN,LAERE,,,,,,,,,
 CHN ,22,Jiahao,FU,,,,,,,,,,
 CAN ,35,Sean,MCCOLL,,,, 175 , 169 ,,,,,
 IRI ,37,Gholamali,BARATZADEH,,,,,,,,,,
 TPE ,24,Chia,Hsiang,LIN,,,,,,,,,
 KOR ,15,Yunchan,SONG,,,, 178 , 168 , Boxing , Top Gun , LOL , l ain't worried , Hyunbin MIN 
 SGP ,20,Luke,GOH,WEN,BIN,,,,,,,,
 NOR ,27,Thilo,Jeldrik,SCHRÖTER,,, 181 , 175 ,,,,,
 JPN ,18,Junta,SEKIGUCHI,,,,, 168 ,,,,,
 GBR ,19,Dayan,AKHTAR,,,,,,,,,,
 AUT ,16,Ilja,AUERSPERG,,,,,,,,,,
 IRL ,23,Michael,O'NEILL,,,, 180 , 174 ,,,,,
 THA ,18,Ardch,INTRACHUPONGSE,,,,,,,,,,
