country,age,name_0,name_1,name_2, HEIGHT , ARM SPAN , SPORTING HERO , HOBBY 
 USA ,21,Natalia,GROSSMAN,, 162 ,,,
 JPN ,25,Miho,NONAKA,, 163 ,,,
 USA ,22,Brooke,RABOUTOU,, 158 ,,,
 GER ,22,Hannah,MEUL,, 167 ,,,
 JPN ,21,Futaba,ITO,, 162 ,,,
 AUT ,26,Jessica,PILZ,, 165 ,,,
 ISR ,21,Ayala,KEREM,, 163 ,,,
 JPN ,19,Anon,MATSUFUJI,, 160 ,,,
 FRA ,18,Oriane,BERTONE,, 164 ,,,
 KOR ,19,Chaehyun,SEO,, 163 ,,,
 CHN ,17,Zhilu,LUO,, 160 ,,,
 SRB ,25,Stasa,GEJO,, 175 , 185 , Novak Djokovic ," Energy Engineerng, PC games, basketball "
 ITA ,21,Camilla,MORONI,, 157 , 161 ,,
 AUT ,24,Franziska,STERRER,, 169 ,,,
 ITA ,22,Giorgia,TESIO,, 165 ,,,
 FRA ,30,Fanny,GIBERT,, 165 ,,,
 USA ,21,Cloe,COSCOY,,,,,
 JPN ,22,Nanako,KURA,, 160 ,,,
 SUI ,31,Petra,KLINGLER,, 162 ,,,
 USA ,18,Kylie,CULLEN,, 165 ,,,
 UKR ,26,Ievgeniia,KAZBEKOVA,, 164 ,,,
 JPN ,19,Mia,AOYAGI,,,,,
 AUS ,20,Oceania,MACKENZIE,, 173 ,,,
 SLO ,27,Katja,DEBEVEC,, 173 ,,,
 GBR ,21,Holly,TOOTHILL,, 165 ,,,
 SUI ,24,Sofya,YOKOYAMA,,,,,
 USA ,15,Anastasia,SANDERS,, 157 ,,,
 JPN ,24,Serika,OKAWACHI,, 158 ,,,
 JPN ,19,Ai,MORI,, 154 ,,,
 FRA ,19,Selma,ELHADJ,MIMOUNE, 166 ,,,
 JPN ,15,Melody,SEKIKAWA,,,,,
 SLO ,22,Mia,KRAMPL,, 163 ,,,
 JPN ,20,Saki,KIKUCHI,, 168 ,,,
 ISR ,21,Noa,SHIRAN,, 170 ,,,
 CAN ,29,Alannah,YIP,, 164 ,,,
 KOR ,29,Sol,SA,,,,,
 GER ,27,Afra,HÖNIG,, 165 , 165 ,,
 SLO ,22,Vita,LUKAN,, 164 ,,,
 GER ,23,Lucia,DÖRFFEL,, 165 ,,,
 ITA ,22,Laura,ROGORA,, 152 ,,,
 BEL ,26,Chloe,CAULIER,, 166 ,,,
 GER ,22,Roxana,WIENAND,, 162 ,,,
 FRA ,19,Agathe,CALLIET,, 158 ,,, climbing 
 SLO ,24,Janja,GARNBRET,, 164 ,,,
 USA ,18,Adriene,Akiko,CLARK, 168 ,,,
 JPN ,19,Nonoha,KUME,, 161 ,,,
 USA ,20,Quinn,MASON,,,,,
 AUT ,25,Johanna,FÄRBER,, 171 ,,,
