,Competition Title,Competition Date,FIRST,LAST,Nation,StartNr,Rank,Qualification,Semifinal,Final,Category,Quali_Tops,Quali_Zones,Quali_Atempts_Tops,Quali_Attempts_Zones,semi_Tops,semi_Zones,semi_Atempts_Tops,semi_Attempts_Zones,Finals_Tops,Finals_Zones,Final_Atempts_Tops,Final_Attempts_Zones
0,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Naile,MEIGNAN,FRA,15.0,1,6T7z99,3T4z55,3T4z89,boulder,6,7,9,9,3,4,5,5,3,4,8,9
1,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Miriam,FOGU,ITA,27.0,2,4T8z814,3T4z55,2T4z27,boulder,4,8,8,4,3,4,5,5,2,4,2,7
2,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Vanda,MICHALKOVA,SVK,48.0,3,6T7z89,3T3z43,2T3z23,boulder,6,7,8,9,3,3,4,3,2,3,2,3
3,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Lola,SAUTIER,FRA,17.0,4,4T6z69,2T3z89,1T3z38,boulder,4,6,6,9,2,3,8,9,1,3,3,8
4,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Polina,KULAGINA,RUS,39.0,5,4T6z611,3T4z76,1T3z47,boulder,4,6,6,1,3,4,7,6,1,3,4,7
5,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Kintana,ILTIS,FRA,16.0,6,6T7z77,2T3z88,1T2z33,boulder,6,7,7,7,2,3,8,8,1,2,3,3
6,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Julia,LOTZ,AUT,1.0,7,6T8z811,1T4z25,,boulder,6,8,8,1,1,4,2,5,0,0,0,0
7,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Aida,TORRES ILLAMOLA,ESP,14.0,8,5T6z88,1T3z26,,boulder,5,6,8,8,1,3,2,6,0,0,0,0
8,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Daria,FURMANOVA,RUS,37.0,9,5T7z1213,1T3z27,,boulder,5,7,1,13,1,3,2,7,0,0,0,0
9,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Betka,DEBEVEC,SLO,41.0,10,7T7z97,1T3z28,,boulder,7,7,9,7,1,3,2,8,0,0,0,0
10,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Lucija,TARKUS,SLO,42.0,11,7T7z109,1T3z415,,boulder,7,7,1,9,1,3,4,5,0,0,0,0
11,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Lucie,WATILLON,BEL,4.0,12,6T6z107,1T2z24,,boulder,6,6,1,7,1,2,2,4,0,0,0,0
12,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Erica,VELEV,BUL,6.0,13,5T7z611,1T2z24,,boulder,5,7,6,1,1,2,2,4,0,0,0,0
13,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Liv,EGLI,SUI,46.0,14,5T5z1312,1T1z43,,boulder,5,5,1,12,1,1,4,3,0,0,0,0
14,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Pleun,FRANK,NED,32.0,15,5T6z1210,0T3z05,,boulder,5,6,1,10,0,3,0,5,0,0,0,0
15,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Mona,JENEWEIN,AUT,3.0,16,6T7z910,0T3z06,,boulder,6,7,9,0,0,3,0,6,0,0,0,0
16,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Zoé,EGLI,SUI,44.0,17,6T7z88,0T3z017,,boulder,6,7,8,8,0,3,0,7,0,0,0,0
17,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Jana,RAUTH,AUT,2.0,18,5T6z98,0T2z04,,boulder,5,6,9,8,0,2,0,4,0,0,0,0
18,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Pia,ČULJAK,CRO,8.0,19,4T6z78,0T2z04,,boulder,4,6,7,8,0,2,0,4,0,0,0,0
